Filename,Timestamp,Label,Brightness,Contrast,Resolution,Color_Mode,Blur,Sharpen,Noise,Flip_Horizontal,Flip_Vertical,Rotate,Face_Detection,Scale_Factor,Interpolation,Translation_X,Translation_Y,Affine,Perspective,Crop_Coordinates,Padding,Shear_X,Warp
captured_photos\photo_20250808_152251_807121_0001.jpg,20250808_152251_807121,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152252_898337_0002.jpg,20250808_152252_898337,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152253_965190_0003.jpg,20250808_152253_965190,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152255_050872_0004.jpg,20250808_152255_050872,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152256_094551_0005.jpg,20250808_152256_094551,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152257_145613_0006.jpg,20250808_152257_145613,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152258_309863_0007.jpg,20250808_152258_309863,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152259_421184_0008.jpg,20250808_152259_421184,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152300_475209_0009.jpg,20250808_152300_475209,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
captured_photos\photo_20250808_152301_549160_0010.jpg,20250808_152301_549160,,93,1.0,"(640, 480)",RGB,False,False,False,False,False,False,False,1.0,Bilinear,0,0,False,False,"0,0,640,480",0,0.0,False
